time_stamp,journal_contents,wellbeing_value
25/03/2020 16:45:02,asda,-2.0
25/03/2020 16:45:04,gasdf,1.0
25/03/2020 16:45:09,gfda,-1.0
25/03/2020 16:45:12,sdfasdf,3.0
25/03/2020 16:59:47,a,2.0
25/03/2020 17:00:05,asfdasdf,3.0
25/03/2020 17:00:08,asdfas,-3.0
25/03/2020 17:00:09,asdfas,-1.0
25/03/2020 17:00:12,asdfas,1.0
25/03/2020 17:00:24,asdfas,-1.0
25/03/2020 17:00:31,asdfas,0.0
25/03/2020 17:00:41,asdfas,-3.0
25/03/2020 17:00:47,asdfas,3.0
25/03/2020 17:00:56,asdfasasd,0.0
25/03/2020 17:01:00,asd,-3.0
